Video Name,Link to the lecture,Week Number
Lecture-32: Method of Power Series: Ordinary and...,https://hello.iitk.ac.in/mth102aa2021/#/lecture/267,13
"Lecture-33-34: Regular Singular Point, Frobenius...",https://hello.iitk.ac.in/mth102aa2021/#/lecture/268,13
Assignment-12: Instructor's part,https://hello.iitk.ac.in/mth102aa2021/#/lecture/269,13
Lecture-35: Laplace Transform: Definition and Ex...,https://hello.iitk.ac.in/mth102aa2021/#/lecture/272,14
Lecture-36: Properties and Application of Laplac...,https://hello.iitk.ac.in/mth102aa2021/#/lecture/273,14
Assignment-13: Instructor's part,https://hello.iitk.ac.in/mth102aa2021/#/lecture/275,14
