Video Name,Link to the lecture,Week Number
Lecture 20 : Intersection of plane and solid,https://hello.iitk.ac.in/ta101aa2021/#/lecture/10936,11
Discussion hour on lecture 20,https://hello.iitk.ac.in/ta101aa2021/#/lecture/11960,11
Part 1 of Lecture 21 Intersection of Solids,https://hello.iitk.ac.in/ta101aa2021/#/assignment/11961,11
Part 2 of Lecture 21 Intersection of Solids,https://hello.iitk.ac.in/ta101aa2021/#/lecture/11964,11
Lecture 22 Intersection of Solids More complicat...,https://hello.iitk.ac.in/ta101aa2021/#/lecture/11971,12
Lecture 23 and 24: Development of surfaces,https://hello.iitk.ac.in/ta101aa2021/#/lecture/12976,12
